Variable,MAPE_Test,R2_Test,Ensemble
Demanda_Total_MBTUD,1.1170995119491207,0.9543053812340015,No
Demanda_Costa_Total_MBTUD,2.180255628367473,0.9001244154629792,No
Demanda_Interior_Total_MBTUD,1.8746700802659277,0.914739216488203,No
Demanda_Industrial_Total_MBTUD,2.392038610479017,0.9334034240582464,No
Demanda_Refineria_Total_MBTUD,1.5174974554740899,0.8675596691998685,No
Demanda_Petrolero_Total_MBTUD,4.942390367933303,0.9045576159310664,No
Demanda_GeneracionTermica_Total_MBTUD,2.8491609329057517,0.8971524845747985,No
Demanda_Residencial_Total_MBTUD,0.7116988279431513,0.9510619041214113,No
Demanda_Comercial_Total_MBTUD,10.970983461283106,-0.47012685831049716,Sí
Demanda_GNVC_Total_MBTUD,1.7100628260745536,0.9410773937179476,No
Demanda_Compresora_Total_MBTUD,7.710747476091741,0.9426984530071569,No
